"","topincisors","bottomincisors","topcanines","bottomcanines","toppremolars","bottompremolars","topmolars","bottommolars"
"oppossum",4,5,2,2,4,4,2,2
"htailmole",4,4,2,2,5,5,2,2
"commonmole",4,3,2,1,4,4,2,2
"snosemole",4,4,2,2,5,5,2,2
"brownbat",3,4,2,2,4,4,2,2
"shairbat",3,4,2,2,3,4,2,2
"pigmybat",3,4,2,2,3,3,2,2
"housebat",3,4,2,2,2,3,2,2
"redbat",2,4,2,2,3,3,2,2
"hoarybat",2,4,2,2,3,3,2,2
"lnosebat",3,4,2,2,3,4,2,2
"armadillo",1,1,1,1,1,1,2,2
"pika",3,2,1,1,3,3,2,2
"ssrabbit",3,2,1,1,4,3,2,2
"beaver",2,2,1,1,3,2,2,2
"marmot",2,2,1,1,3,2,2,2
"groundhog",2,2,1,1,3,2,2,2
"prairiedog",2,2,1,1,3,2,2,2
"groundsquirrel",2,2,1,1,3,2,2,2
"chipmunk",2,2,1,1,3,2,2,2
"graysquirrel",2,2,1,1,2,2,2,2
"foxsquirrel",2,2,1,1,2,2,2,2
"pocketgopher",2,2,1,1,2,2,2,2
"kroorat",2,2,1,1,2,2,2,2
"packrat",2,2,1,1,1,1,2,2
"fieldmouse",2,2,1,1,1,1,2,2
"muskrat",2,2,1,1,1,1,2,2
"blackrat",2,2,1,1,1,1,2,2
"housemouse",2,2,1,1,1,1,2,2
"porcupine",2,2,1,1,2,2,2,2
"guineapig",2,2,1,1,2,2,2,2
"coyote",2,4,2,2,5,5,2,2
"wolf",4,4,2,2,5,5,1,2
"fox",4,4,2,2,5,5,1,2
"bear",4,4,2,2,5,5,1,2
"civetcat",4,4,2,2,5,5,1,1
"raccoon",4,4,2,2,5,5,2,1
"marter",4,4,2,2,5,5,1,1
"fisher",4,4,2,2,5,5,1,1
"weasel",4,4,2,2,4,4,1,1
"mink",4,4,2,2,4,4,1,1
"ferret",4,4,2,2,4,4,1,1
"wolverine",4,4,2,2,5,5,1,1
"badger",4,4,2,2,4,4,1,1
"skunk",4,4,2,2,4,4,1,1
"riverotter",4,4,2,2,5,4,1,1
"seaotter",4,3,2,2,4,4,1,1
"jaguar",4,4,2,2,4,3,1,1
"ocelot",4,4,2,2,4,3,1,1
"cougar",4,4,2,2,4,3,1,1
"lynx",4,4,2,2,4,3,1,1
"furseal",4,3,2,2,5,5,1,1
"sealion",4,3,2,2,5,5,1,1
"walrus",2,1,2,2,4,4,1,1
"greyseal",4,3,2,2,4,4,1,1
"ephantseal",3,2,2,2,5,5,1,1
"peccary",3,4,2,2,4,4,2,2
"elk",1,5,2,1,4,4,2,2
"deer",1,5,1,1,4,4,2,2
"moose",1,5,1,1,4,4,2,2
"reindeer",1,5,2,1,4,4,2,2
"antelope",1,5,1,1,4,4,2,2
"bison",1,5,1,1,4,4,2,2
"mtngoat",1,5,1,1,4,4,2,2
"muskox",1,5,1,1,4,4,2,2
"mtnsheep",1,5,1,1,4,4,2,2
