,Party,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V16,V19
Sessions,(R),0,0,0,0,0,0,0,0,0,0,0,0,1
Shelby,(R),0,0,0,0,0,0,0,0,0,0,0,0,0
Murkowski,(R),0,0,0,0,0,0,0,0,0,0,0,0,0
Stevens,(R),0,0,0,1,1,0,0,0,0,0,0,0,0
Kyl,(R),0,0,0,0,0,0,0,0,0,0,0,0,1
McCain,(R),0,0,0,1,1,0,0,0,0,1,0,0,1
Hutchinson,(R),0,0,0,1,0,0,0,0,0,0,0,0,0
Lincoln,(D),1,0,1,1,1,1,1,1,1,1,1,1,1
Boxer,(D),1,1,1,1,1,1,1,1,1,1,1,1,0
Feinstein,(D),1,1,1,1,1,1,1,1,1,1,1,1,0
Allard,(R),0,0,0,0,0,0,0,0,0,0,0,0,1
Campbell,(R),0,0,0,1,0,0,0,0,0,0,0,0,0
Dodd,(D),0,1,1,1,1,1,1,1,1,1,1,1,1
Lieberman,(D),1,1,1,1,1,1,1,1,1,1,1,1,1
Biden,(D),1,1,1,1,1,1,1,1,1,1,1,1,1
Carper,(D),1,1,1,1,1,1,1,1,1,1,1,1,1
Graham,(D),1,1,1,1,1,1,1,1,1,1,1,1,1
Nelson,(D),1,1,1,1,1,1,1,1,1,1,1,1,1
Cleland,(D),1,1,1,1,1,1,1,0,1,1,1,1,0
Miller,(D),0,0,0,1,1,0,0,0,0,0,0,0,1
Akaka,(D),1,1,1,1,1,1,1,1,1,1,1,1,1
Inouye,(D),1,1,1,1,1,1,1,1,1,1,1,1,0
Craig,(R),0,0,0,0,0,0,0,0,0,0,0,0,0
Crapo,(R),0,0,0,0,0,0,0,0,0,0,0,0,0
Durbin,(D),1,1,1,1,1,1,1,1,1,1,1,1,0
Fitzgerald,(R),0,0,0,1,1,0,0,0,0,0,0,0,0
Bayh,(D),1,1,1,1,1,1,1,1,1,1,1,1,1
Lugar,(R),0,0,0,0,1,0,0,0,0,0,0,0,1
Grassley,(R),0,0,0,0,0,0,0,0,0,0,0,0,1
Harkin,(D),1,1,1,1,1,1,1,1,1,1,1,1,1
Brownback,(R),0,0,0,0,0,0,0,0,0,0,0,0,0
Roberts,(R),0,0,0,0,0,0,0,0,0,0,0,0,0
Bunning,(R),0,0,0,0,0,0,0,0,0,0,0,0,0
McConnell,(R),0,0,0,0,0,0,0,0,0,0,0,0,0
Breaux,(D),0,0,1,1,0,1,1,0,1,1,1,0,0
Landrieu,(D),1,0,1,1,1,1,1,0,1,1,1,1,1
Collins,(R),0,0,0,1,1,0,0,0,0,1,0,0,0
Snowe,(R),0,0,0,1,1,0,0,0,0,1,0,1,0
Mikulski,(D),1,1,1,1,1,1,1,1,1,1,1,1,0
Sarbanes,(D),1,1,1,1,1,1,1,1,1,1,1,1,0
Kennedy,(D),1,1,1,1,1,1,1,1,1,1,1,1,1
Kerry,(D),1,1,1,1,1,1,1,1,1,1,1,1,1
Levin,(D),1,1,1,1,1,1,1,1,1,1,1,1,1
Stabenow,(D),1,1,1,1,1,1,1,1,1,1,1,1,1
Dayton,(D),1,1,1,1,1,1,1,1,1,1,1,1,1
Wellstone,(D),1,1,1,1,1,1,1,1,1,1,1,1,1
Cochran,(R),0,0,0,1,1,0,0,0,0,0,0,0,0
Lott,(R),0,0,0,0,0,0,0,0,0,0,0,0,0
Bond,(R),0,0,0,0,0,0,0,0,0,0,0,0,0
Carnahan,(D),1,1,1,1,1,1,1,1,1,1,1,0,0
Baucus,(D),1,0,1,1,1,1,1,1,1,1,1,1,0
Burns,(R),0,0,0,0,0,0,0,0,0,0,0,0,0
Hagel,(R),0,0,0,1,0,0,0,0,0,0,0,1,1
Nelson1,(D),0,1,1,1,0,1,1,1,1,1,1,1,0
Ensign,(R),0,0,0,1,1,0,0,0,0,0,0,0,1
Reid,(D),1,1,1,1,1,1,1,1,1,1,1,1,1
Gregg,(R),0,0,0,0,0,0,0,0,0,0,0,0,0
Smith1,(R),0,0,0,0,0,0,0,0,0,0,0,0,0
Corzine,(D),1,1,1,1,1,1,1,1,1,1,1,1,1
Torricelli,(D),1,1,1,1,1,1,1,1,1,1,1,1,0
Bingaman,(D),1,1,1,1,1,1,1,1,1,1,1,1,0
Domenici,(R),0,0,0,1,0,0,0,0,0,0,0,0,0
Clinton,(D),1,1,1,1,1,1,1,1,1,1,1,1,0
Schumer,(D),1,1,1,1,1,1,1,1,1,1,1,1,0
Edwards,(D),1,1,1,1,1,1,1,1,1,1,1,1,0
Helms,(R),0,0,0,0,0,0,0,0,0,0,0,0,0
Conrad,(D),0,1,1,1,1,1,1,1,1,1,1,0,0
Dorgan,(D),0,1,1,1,1,1,1,1,1,1,1,0,0
DeWine,(R),0,0,0,1,0,0,0,0,0,0,0,1,1
Voinovich,(R),0,0,0,0,0,0,0,0,0,0,0,1,1
Inhofe,(R),0,0,0,1,0,0,0,0,0,0,0,0,0
Nickles,(R),0,0,0,1,0,0,0,0,0,0,0,0,1
Smith,(R),0,0,0,0,0,0,0,0,0,0,0,0,1
Wyden,(D),1,1,1,1,1,1,1,1,1,1,1,1,1
Santorum,(R),0,0,0,0,0,0,0,0,0,0,0,0,1
Specter,(R),0,0,0,1,1,0,0,0,0,0,1,1,0
Chafee,(R),0,0,0,1,1,1,0,0,1,1,0,1,1
Reed,(D),1,1,1,1,1,1,1,1,1,1,1,1,1
Hollings,(D),1,0,1,1,1,1,1,1,1,1,1,0,1
Thurmond,(R),0,0,0,0,0,0,0,0,0,0,0,0,1
Daschle,(D),1,1,1,1,1,1,1,1,1,1,1,1,1
Johnson,(D),1,1,0,1,1,1,1,1,1,1,1,0,1
Frist,(R),0,0,0,0,0,0,0,0,0,0,0,0,1
Thompson,(R),0,0,0,1,1,0,0,0,0,0,0,0,1
Gramm,(R),0,0,0,0,0,0,0,0,0,0,0,0,1
Hutchison,(R),0,0,0,1,0,0,0,0,0,0,0,0,0
Bennett,(R),0,0,0,0,0,0,0,0,0,0,0,0,0
Hatch,(R),0,0,0,0,0,0,0,0,0,0,0,0,0
Jeffords,(I),0,0,0,1,1,0,0,0,0,1,0,1,1
Leahy,(D),1,1,1,1,1,1,1,1,1,1,1,1,1
Allen,(R),0,0,0,0,0,0,0,0,0,0,0,0,1
Warner,(R),0,0,0,0,0,0,0,0,0,0,0,0,1
Cantwell,(D),1,1,1,1,1,1,1,1,1,1,1,1,1
Murray,(D),1,1,1,1,1,1,1,1,1,1,1,1,0
Byrd,(D),0,1,1,1,1,1,1,1,1,1,1,0,1
Rockefeller,(D),1,1,1,1,1,1,1,1,1,1,1,1,1
Feingold,(D),0,1,1,1,1,1,1,1,1,1,1,1,1
Kohl,(D),1,1,1,1,1,1,1,1,1,1,1,1,1
Enzi,(R),0,0,0,0,0,0,0,0,0,0,0,0,1
Thomas,(R),0,0,0,0,0,0,0,0,0,0,0,0,0
